customer_id,name,email,tenure_months,monthly_charge_usd,total_charges_usd,num_complaints_90d,late_payments_12m,support_calls_30d,avg_data_usage_gb,num_services,discount_pct_active,contract_type,payment_method,has_competitor_offer,plan_type,current_debt_usd,preferred_channel,last_complaint_text,churn
35,Cliente 35,user35@demo.com,64,38.96,2343.06,0,0,2,9.6,1,20,month_to_month,credit_card,0,basic,0.0,chat,sin quejas registradas,0
36,Cliente 36,user36@demo.com,5,45.88,195.74,1,0,1,24.2,2,10,two_year,electronic_check,0,standard,0.0,phone,Cobro duplicado en factura,0
37,Cliente 37,user37@demo.com,61,68.95,4385.98,0,0,0,23.9,5,20,one_year,credit_card,1,standard,0.0,chat,sin quejas registradas,0
38,Cliente 38,user38@demo.com,59,55.07,3291.86,0,1,2,41.9,2,0,two_year,electronic_check,1,standard,0.0,chat,sin quejas registradas,0
39,Cliente 39,user39@demo.com,20,62.48,1242.99,0,4,1,48.3,3,10,month_to_month,credit_card,1,standard,77.16,whatsapp,sin quejas registradas,1
40,Cliente 40,user40@demo.com,45,69.74,3213.05,1,0,0,13.1,3,0,month_to_month,bank_transfer,0,standard,0.0,chat,Cobro duplicado en factura,0
41,Cliente 41,user41@demo.com,12,46.75,578.59,1,1,1,8.2,2,0,month_to_month,cash,1,standard,0.0,chat,Internet inestable en horas pico,0
42,Cliente 42,user42@demo.com,54,71.64,3549.4,1,0,2,32.4,1,5,month_to_month,electronic_check,0,standard,0.0,chat,Cargo por servicio que no solicite,0
43,Cliente 43,user43@demo.com,50,63.33,3078.45,0,1,0,3.9,3,0,month_to_month,bank_transfer,1,standard,0.0,chat,sin quejas registradas,0
44,Cliente 44,user44@demo.com,26,27.83,703.15,1,0,0,34.0,5,0,month_to_month,bank_transfer,0,basic,0.0,email,Internet inestable en horas pico,0
45,Cliente 45,user45@demo.com,5,86.73,391.79,0,2,0,35.9,5,0,month_to_month,bank_transfer,1,premium,0.0,whatsapp,sin quejas registradas,0
46,Cliente 46,user46@demo.com,69,43.98,2714.14,1,1,0,12.3,2,5,month_to_month,bank_transfer,1,standard,0.0,phone,Internet inestable en horas pico,0
47,Cliente 47,user47@demo.com,32,18.59,519.2,1,0,1,1.1,3,0,month_to_month,electronic_check,0,basic,0.0,chat,Cargo por servicio que no solicite,0
48,Cliente 48,user48@demo.com,64,32.01,2011.48,2,1,1,38.6,2,20,month_to_month,bank_transfer,1,basic,0.0,chat,Cargo por servicio que no solicite,1
49,Cliente 49,user49@demo.com,49,32.54,1604.32,0,1,0,50.7,5,15,one_year,credit_card,0,basic,0.0,whatsapp,sin quejas registradas,0
50,Cliente 50,user50@demo.com,56,56.15,3151.29,0,1,1,48.3,3,5,month_to_month,bank_transfer,0,standard,0.0,chat,sin quejas registradas,0
51,Cliente 51,user51@demo.com,54,48.98,2415.49,0,1,0,49.4,5,15,one_year,electronic_check,0,standard,0.0,chat,sin quejas registradas,0
52,Cliente 52,user52@demo.com,14,47.59,593.67,1,3,1,5.8,5,10,month_to_month,electronic_check,0,standard,99.53,chat,Cargo por servicio que no solicite,1
53,Cliente 53,user53@demo.com,26,68.63,1678.61,0,2,0,20.2,2,5,month_to_month,electronic_check,0,standard,0.0,whatsapp,sin quejas registradas,1
54,Cliente 54,user54@demo.com,34,62.48,2037.99,0,2,0,23.7,3,20,two_year,credit_card,0,standard,0.0,phone,sin quejas registradas,0
55,Cliente 55,user55@demo.com,36,61.95,2305.62,0,4,1,21.2,3,10,two_year,credit_card,0,standard,86.04,chat,sin quejas registradas,0
56,Cliente 56,user56@demo.com,4,64.02,262.47,1,0,1,31.4,2,5,month_to_month,bank_transfer,0,standard,0.0,chat,Cargo por servicio que no solicite,1
57,Cliente 57,user57@demo.com,39,68.55,2762.24,0,2,0,7.7,5,5,month_to_month,electronic_check,0,standard,0.0,whatsapp,sin quejas registradas,0
58,Cliente 58,user58@demo.com,11,15.0,168.31,2,2,1,3.8,3,15,two_year,electronic_check,1,basic,0.0,chat,Internet inestable en horas pico,0
59,Cliente 59,user59@demo.com,53,46.98,2596.8,1,1,0,2.6,2,15,month_to_month,electronic_check,0,standard,0.0,email,Internet inestable en horas pico,0
60,Cliente 60,user60@demo.com,49,15.0,693.18,1,0,0,39.1,3,5,month_to_month,electronic_check,0,basic,0.0,whatsapp,Cargo por servicio que no solicite,0
61,Cliente 61,user61@demo.com,66,55.79,3164.78,0,1,0,5.8,5,0,month_to_month,credit_card,0,standard,0.0,chat,sin quejas registradas,0
62,Cliente 62,user62@demo.com,53,54.9,2521.87,0,1,0,21.1,3,10,month_to_month,bank_transfer,1,standard,0.0,chat,sin quejas registradas,0
63,Cliente 63,user63@demo.com,27,78.0,1954.48,0,1,0,11.8,4,5,one_year,cash,0,standard,0.0,phone,sin quejas registradas,0
64,Cliente 64,user64@demo.com,69,81.13,5046.78,0,0,1,12.3,5,20,one_year,electronic_check,1,premium,0.0,phone,sin quejas registradas,0
65,Cliente 65,user65@demo.com,30,59.46,1576.86,0,1,0,16.5,2,20,month_to_month,electronic_check,1,standard,0.0,email,sin quejas registradas,1
66,Cliente 66,user66@demo.com,24,43.99,1098.67,0,0,1,12.7,5,0,month_to_month,bank_transfer,1,standard,0.0,email,sin quejas registradas,0
67,Cliente 67,user67@demo.com,65,65.67,3795.1,0,0,1,3.8,3,20,month_to_month,electronic_check,0,standard,0.0,email,sin quejas registradas,0
68,Cliente 68,user68@demo.com,27,43.39,1220.59,0,0,0,16.5,3,20,one_year,bank_transfer,0,standard,0.0,email,sin quejas registradas,0
69,Cliente 69,user69@demo.com,6,54.97,330.53,0,1,0,9.8,4,20,two_year,credit_card,0,standard,0.0,chat,sin quejas registradas,0
70,Cliente 70,user70@demo.com,34,76.69,2550.59,2,1,0,9.4,1,5,month_to_month,bank_transfer,0,standard,0.0,chat,Cobro duplicado en factura,0
71,Cliente 71,user71@demo.com,57,42.73,2399.57,0,2,0,60.5,4,0,one_year,electronic_check,0,standard,0.0,chat,sin quejas registradas,0
72,Cliente 72,user72@demo.com,14,72.72,932.86,0,2,0,4.9,3,10,month_to_month,cash,0,standard,0.0,email,sin quejas registradas,0
73,Cliente 73,user73@demo.com,33,69.9,2258.92,0,4,1,15.9,4,20,one_year,cash,0,standard,135.96,chat,sin quejas registradas,0
74,Cliente 74,user74@demo.com,10,33.99,301.61,1,2,0,22.4,5,5,month_to_month,electronic_check,0,basic,0.0,email,Internet inestable en horas pico,0
75,Cliente 75,user75@demo.com,49,76.43,3885.66,0,0,1,60.6,3,20,month_to_month,credit_card,0,standard,0.0,phone,sin quejas registradas,1
76,Cliente 76,user76@demo.com,34,70.37,2178.11,0,0,2,6.9,5,0,month_to_month,credit_card,0,standard,0.0,whatsapp,sin quejas registradas,0
77,Cliente 77,user77@demo.com,24,57.24,1237.81,0,1,0,46.6,3,15,two_year,electronic_check,0,standard,0.0,phone,sin quejas registradas,0
78,Cliente 78,user78@demo.com,17,38.23,644.86,1,0,0,16.4,2,0,month_to_month,cash,0,basic,0.0,phone,Demoras al contestar en el call center,0
79,Cliente 79,user79@demo.com,41,36.1,1452.41,0,2,1,16.9,4,15,month_to_month,electronic_check,0,basic,0.0,chat,sin quejas registradas,1
80,Cliente 80,user80@demo.com,48,43.17,1948.37,0,3,1,30.1,1,20,two_year,electronic_check,0,standard,91.29,whatsapp,sin quejas registradas,0
81,Cliente 81,user81@demo.com,67,66.94,4379.53,1,0,0,51.7,5,10,one_year,electronic_check,1,standard,0.0,email,Cobro duplicado en factura,0
82,Cliente 82,user82@demo.com,32,33.98,958.94,2,1,1,12.6,1,10,month_to_month,credit_card,1,basic,0.0,whatsapp,Demoras al contestar en el call center,1
83,Cliente 83,user83@demo.com,12,64.63,763.67,1,1,0,23.7,3,0,month_to_month,bank_transfer,0,standard,0.0,whatsapp,Internet inestable en horas pico,1
84,Cliente 84,user84@demo.com,60,27.68,1501.57,0,5,1,21.4,5,20,two_year,credit_card,0,basic,58.58,chat,sin quejas registradas,0
85,Cliente 85,user85@demo.com,45,50.51,2056.04,0,4,2,20.6,1,0,month_to_month,credit_card,0,standard,119.42,whatsapp,sin quejas registradas,0
86,Cliente 86,user86@demo.com,50,57.41,2533.03,0,0,0,33.8,3,0,month_to_month,electronic_check,1,standard,0.0,phone,sin quejas registradas,0
87,Cliente 87,user87@demo.com,7,108.79,697.92,0,4,0,10.4,3,0,month_to_month,bank_transfer,0,premium,200.36,phone,sin quejas registradas,1
88,Cliente 88,user88@demo.com,23,24.7,520.52,0,1,3,14.1,2,0,month_to_month,credit_card,0,basic,0.0,email,sin quejas registradas,0
89,Cliente 89,user89@demo.com,55,87.38,4521.56,0,1,0,4.0,4,5,one_year,credit_card,0,premium,0.0,chat,sin quejas registradas,0
90,Cliente 90,user90@demo.com,60,58.3,3106.52,0,1,0,28.4,2,0,two_year,credit_card,1,standard,0.0,whatsapp,sin quejas registradas,0
91,Cliente 91,user91@demo.com,31,64.05,1764.36,0,1,0,19.9,2,0,month_to_month,cash,0,standard,0.0,chat,sin quejas registradas,0
92,Cliente 92,user92@demo.com,58,57.6,3201.65,0,3,1,50.8,2,0,two_year,bank_transfer,1,standard,94.16,email,sin quejas registradas,0
93,Cliente 93,user93@demo.com,60,64.78,3403.96,0,0,0,6.8,4,0,one_year,credit_card,0,standard,0.0,chat,sin quejas registradas,0
94,Cliente 94,user94@demo.com,28,51.62,1427.7,2,2,0,65.7,5,5,one_year,credit_card,1,standard,0.0,chat,Internet inestable en horas pico,0
95,Cliente 95,user95@demo.com,64,86.99,5783.31,0,4,0,31.9,1,0,month_to_month,electronic_check,1,premium,148.53,phone,sin quejas registradas,0
96,Cliente 96,user96@demo.com,21,44.96,883.13,0,1,0,30.9,3,20,month_to_month,credit_card,0,standard,0.0,whatsapp,sin quejas registradas,1
97,Cliente 97,user97@demo.com,18,79.91,1481.85,1,0,0,11.6,2,20,one_year,credit_card,0,standard,0.0,whatsapp,Internet inestable en horas pico,0
98,Cliente 98,user98@demo.com,49,40.82,1739.48,1,0,2,15.3,2,20,one_year,bank_transfer,1,standard,0.0,phone,Internet inestable en horas pico,0
99,Cliente 99,user99@demo.com,46,53.67,2119.71,0,2,1,13.3,5,0,month_to_month,credit_card,1,standard,0.0,phone,sin quejas registradas,1
100,Cliente 100,user100@demo.com,10,31.42,312.4,1,1,1,44.7,4,5,month_to_month,electronic_check,0,basic,0.0,whatsapp,Velocidad menor a la contratada,0
101,Cliente 101,user101@demo.com,60,65.01,3909.2,1,0,1,3.3,5,15,month_to_month,electronic_check,0,standard,0.0,email,Demoras al contestar en el call center,0
102,Cliente 102,user102@demo.com,15,86.79,1326.08,0,2,0,17.2,4,0,month_to_month,electronic_check,1,premium,0.0,phone,sin quejas registradas,1
103,Cliente 103,user103@demo.com,58,53.3,2662.82,0,1,1,18.3,4,0,month_to_month,bank_transfer,0,standard,0.0,whatsapp,sin quejas registradas,1
104,Cliente 104,user104@demo.com,1,50.67,50.94,0,3,1,12.9,4,10,month_to_month,cash,1,standard,122.52,whatsapp,sin quejas registradas,1
105,Cliente 105,user105@demo.com,57,30.48,1607.59,0,1,0,8.5,4,0,month_to_month,credit_card,0,basic,0.0,whatsapp,sin quejas registradas,0
106,Cliente 106,user106@demo.com,56,49.96,2547.83,0,1,1,1.6,5,10,two_year,credit_card,0,standard,0.0,email,sin quejas registradas,0
107,Cliente 107,user107@demo.com,56,19.96,988.78,0,2,0,17.4,2,5,two_year,credit_card,1,basic,0.0,email,sin quejas registradas,0
108,Cliente 108,user108@demo.com,48,34.92,1758.63,0,0,0,28.3,1,10,month_to_month,electronic_check,0,basic,0.0,phone,sin quejas registradas,0
109,Cliente 109,user109@demo.com,34,59.99,1759.68,0,1,0,19.9,3,10,month_to_month,electronic_check,0,standard,0.0,phone,sin quejas registradas,0
110,Cliente 110,user110@demo.com,51,84.02,4351.02,0,2,0,8.5,1,5,month_to_month,electronic_check,0,premium,0.0,email,sin quejas registradas,0
111,Cliente 111,user111@demo.com,20,116.8,2284.37,1,1,0,18.5,1,10,month_to_month,cash,0,enterprise,0.0,chat,Cargo por servicio que no solicite,1
112,Cliente 112,user112@demo.com,56,42.1,2350.57,1,3,1,51.2,1,0,two_year,electronic_check,0,standard,52.83,chat,Velocidad menor a la contratada,0
113,Cliente 113,user113@demo.com,40,86.58,3436.68,0,1,1,10.8,1,20,month_to_month,credit_card,0,premium,0.0,email,sin quejas registradas,0
114,Cliente 114,user114@demo.com,33,60.36,2035.08,1,4,0,22.1,4,0,two_year,credit_card,0,standard,115.37,chat,Cargo por servicio que no solicite,0
115,Cliente 115,user115@demo.com,36,51.67,1649.48,0,1,2,24.5,3,20,month_to_month,credit_card,0,standard,0.0,email,sin quejas registradas,0
116,Cliente 116,user116@demo.com,41,64.52,2248.96,1,2,0,5.3,5,20,two_year,electronic_check,0,standard,0.0,chat,Cobro duplicado en factura,0
117,Cliente 117,user117@demo.com,3,56.36,163.96,1,3,1,14.8,2,15,one_year,cash,1,standard,145.8,chat,Internet inestable en horas pico,1
118,Cliente 118,user118@demo.com,10,57.43,528.8,1,0,1,14.9,2,15,one_year,electronic_check,1,standard,0.0,whatsapp,Internet inestable en horas pico,1
119,Cliente 119,user119@demo.com,18,46.02,724.61,0,1,2,19.3,3,0,two_year,cash,0,standard,0.0,email,sin quejas registradas,0
120,Cliente 120,user120@demo.com,9,24.24,193.56,1,2,2,43.7,4,20,month_to_month,credit_card,1,basic,0.0,whatsapp,Cargo por servicio que no solicite,1
121,Cliente 121,user121@demo.com,32,21.04,616.96,0,0,1,6.5,5,5,month_to_month,credit_card,0,basic,0.0,chat,sin quejas registradas,0
122,Cliente 122,user122@demo.com,48,69.37,2877.07,0,2,0,45.6,4,0,month_to_month,bank_transfer,0,standard,0.0,chat,sin quejas registradas,1
123,Cliente 123,user123@demo.com,47,48.91,1980.12,0,0,0,29.9,3,10,two_year,credit_card,0,standard,0.0,chat,sin quejas registradas,0
124,Cliente 124,user124@demo.com,34,41.89,1471.55,0,0,0,66.9,5,5,two_year,electronic_check,1,standard,0.0,chat,sin quejas registradas,0
125,Cliente 125,user125@demo.com,61,55.19,3071.75,0,2,0,2.3,1,0,month_to_month,bank_transfer,0,standard,0.0,chat,sin quejas registradas,1
126,Cliente 126,user126@demo.com,41,72.49,3110.13,0,1,0,91.6,3,0,one_year,credit_card,0,standard,0.0,email,sin quejas registradas,0
127,Cliente 127,user127@demo.com,6,58.97,368.99,0,1,0,5.0,2,0,month_to_month,credit_card,1,standard,0.0,chat,sin quejas registradas,1
128,Cliente 128,user128@demo.com,55,40.57,1960.27,1,2,3,9.1,1,20,month_to_month,bank_transfer,1,standard,0.0,whatsapp,Demoras al contestar en el call center,1
129,Cliente 129,user129@demo.com,41,81.98,3337.6,0,1,0,9.1,2,10,one_year,credit_card,1,premium,0.0,email,sin quejas registradas,0
130,Cliente 130,user130@demo.com,46,89.74,4004.86,0,1,1,28.9,4,0,month_to_month,credit_card,1,premium,0.0,chat,sin quejas registradas,0
131,Cliente 131,user131@demo.com,41,65.88,2669.02,0,0,2,15.8,2,15,month_to_month,electronic_check,0,standard,0.0,whatsapp,sin quejas registradas,0
132,Cliente 132,user132@demo.com,40,76.42,2657.09,2,1,0,10.4,5,10,one_year,electronic_check,0,standard,0.0,email,Demoras al contestar en el call center,0
133,Cliente 133,user133@demo.com,7,82.32,511.54,0,1,0,58.9,4,0,month_to_month,credit_card,1,premium,0.0,chat,sin quejas registradas,1
134,Cliente 134,user134@demo.com,40,79.86,2764.2,0,1,0,1.8,4,0,month_to_month,electronic_check,0,standard,0.0,email,sin quejas registradas,0
135,Cliente 135,user135@demo.com,57,68.51,3791.15,0,1,0,38.1,2,0,month_to_month,electronic_check,0,standard,0.0,phone,sin quejas registradas,0
136,Cliente 136,user136@demo.com,22,68.16,1570.47,0,0,1,18.0,5,0,month_to_month,bank_transfer,1,standard,0.0,email,sin quejas registradas,1
137,Cliente 137,user137@demo.com,43,66.43,2811.92,0,3,0,10.2,2,15,one_year,electronic_check,0,standard,161.43,whatsapp,sin quejas registradas,0
138,Cliente 138,user138@demo.com,3,30.86,91.85,0,0,0,11.3,2,0,two_year,electronic_check,0,basic,0.0,chat,sin quejas registradas,0
139,Cliente 139,user139@demo.com,25,70.42,1843.1,0,3,0,14.5,4,15,month_to_month,bank_transfer,0,standard,102.88,email,sin quejas registradas,0
140,Cliente 140,user140@demo.com,32,25.17,793.84,0,0,0,9.3,4,5,two_year,bank_transfer,1,basic,0.0,whatsapp,sin quejas registradas,0
141,Cliente 141,user141@demo.com,70,37.52,2253.55,0,2,1,34.0,2,0,one_year,bank_transfer,1,basic,0.0,phone,sin quejas registradas,0
142,Cliente 142,user142@demo.com,16,83.68,1370.21,0,2,1,13.5,2,15,two_year,credit_card,0,premium,0.0,whatsapp,sin quejas registradas,0
143,Cliente 143,user143@demo.com,20,73.48,1356.35,0,1,0,30.6,3,0,one_year,credit_card,0,standard,0.0,whatsapp,sin quejas registradas,0
144,Cliente 144,user144@demo.com,30,87.72,2239.16,0,1,2,11.5,3,20,month_to_month,cash,1,premium,0.0,email,sin quejas registradas,1
145,Cliente 145,user145@demo.com,71,49.02,3311.43,0,1,0,21.8,1,0,one_year,electronic_check,0,standard,0.0,phone,sin quejas registradas,0
146,Cliente 146,user146@demo.com,61,29.65,1876.3,0,2,1,21.8,2,10,month_to_month,electronic_check,0,basic,0.0,email,sin quejas registradas,0
147,Cliente 147,user147@demo.com,3,49.71,134.44,0,2,0,19.1,1,0,month_to_month,electronic_check,0,standard,0.0,chat,sin quejas registradas,0
148,Cliente 148,user148@demo.com,17,57.24,922.77,2,4,1,46.5,1,5,month_to_month,bank_transfer,0,standard,141.94,email,Internet inestable en horas pico,0
149,Cliente 149,user149@demo.com,59,56.74,2961.86,0,1,1,49.8,2,15,month_to_month,electronic_check,0,standard,0.0,chat,sin quejas registradas,0
150,Cliente 150,user150@demo.com,5,79.94,344.36,1,0,0,32.7,1,15,month_to_month,credit_card,1,standard,0.0,phone,Demoras al contestar en el call center,1
151,Cliente 151,user151@demo.com,61,47.05,2485.78,0,1,0,40.3,4,0,two_year,credit_card,0,standard,0.0,phone,sin quejas registradas,0
152,Cliente 152,user152@demo.com,20,62.74,1249.03,0,0,2,31.5,4,0,month_to_month,cash,1,standard,0.0,whatsapp,sin quejas registradas,1
153,Cliente 153,user153@demo.com,66,33.25,2244.57,0,0,0,12.8,2,0,month_to_month,electronic_check,0,basic,0.0,chat,sin quejas registradas,0
154,Cliente 154,user154@demo.com,21,64.91,1197.71,0,0,0,16.9,5,15,two_year,credit_card,0,standard,0.0,email,sin quejas registradas,0
155,Cliente 155,user155@demo.com,31,55.07,1549.54,0,1,0,2.3,3,5,month_to_month,cash,1,standard,0.0,chat,sin quejas registradas,1
156,Cliente 156,user156@demo.com,47,38.5,1608.66,0,1,1,7.9,2,15,month_to_month,electronic_check,0,basic,0.0,email,sin quejas registradas,0
157,Cliente 157,user157@demo.com,9,49.81,383.45,0,0,0,5.1,1,5,two_year,credit_card,0,standard,0.0,chat,sin quejas registradas,0
158,Cliente 158,user158@demo.com,40,50.95,1957.88,0,1,0,10.1,3,5,two_year,electronic_check,0,standard,0.0,email,sin quejas registradas,0
159,Cliente 159,user159@demo.com,36,49.06,1748.47,0,1,1,23.2,5,0,one_year,electronic_check,1,standard,0.0,phone,sin quejas registradas,1
160,Cliente 160,user160@demo.com,56,93.97,5154.84,0,4,1,12.4,1,0,month_to_month,electronic_check,1,premium,100.64,chat,sin quejas registradas,1
161,Cliente 161,user161@demo.com,71,52.83,3479.4,0,0,1,35.1,1,10,month_to_month,electronic_check,0,standard,0.0,phone,sin quejas registradas,0
162,Cliente 162,user162@demo.com,48,49.63,2289.34,0,0,2,8.2,3,0,two_year,electronic_check,1,standard,0.0,chat,sin quejas registradas,0
163,Cliente 163,user163@demo.com,30,15.0,390.97,0,1,1,29.6,5,0,two_year,bank_transfer,0,basic,0.0,chat,sin quejas registradas,0
164,Cliente 164,user164@demo.com,29,35.33,902.5,1,1,1,7.6,2,0,month_to_month,credit_card,0,basic,0.0,whatsapp,Cargo por servicio que no solicite,0
165,Cliente 165,user165@demo.com,30,49.21,1529.98,0,0,0,44.3,4,10,two_year,credit_card,0,standard,0.0,chat,sin quejas registradas,0
166,Cliente 166,user166@demo.com,58,39.91,2320.11,0,1,1,8.2,3,20,one_year,credit_card,1,basic,0.0,chat,sin quejas registradas,0
167,Cliente 167,user167@demo.com,23,85.4,2032.06,1,2,0,26.5,1,15,month_to_month,cash,0,premium,0.0,whatsapp,Velocidad menor a la contratada,1
168,Cliente 168,user168@demo.com,12,51.37,636.99,1,2,0,10.4,5,10,month_to_month,electronic_check,0,standard,0.0,chat,Internet inestable en horas pico,1
169,Cliente 169,user169@demo.com,24,83.35,1960.15,0,2,0,54.9,1,15,month_to_month,electronic_check,1,premium,0.0,chat,sin quejas registradas,1
170,Cliente 170,user170@demo.com,2,56.36,116.74,0,3,1,53.4,3,5,two_year,electronic_check,0,standard,140.59,email,sin quejas registradas,0
171,Cliente 171,user171@demo.com,8,55.82,416.79,0,1,1,25.8,4,0,month_to_month,bank_transfer,0,standard,0.0,phone,sin quejas registradas,0
172,Cliente 172,user172@demo.com,7,53.05,315.92,0,2,0,25.5,4,5,one_year,bank_transfer,0,standard,0.0,phone,sin quejas registradas,0
173,Cliente 173,user173@demo.com,55,55.08,2612.9,0,2,0,33.3,5,20,month_to_month,credit_card,0,standard,0.0,phone,sin quejas registradas,0
174,Cliente 174,user174@demo.com,52,92.81,4207.88,0,1,0,29.2,4,15,one_year,electronic_check,0,premium,0.0,whatsapp,sin quejas registradas,0
175,Cliente 175,user175@demo.com,50,15.0,651.8,1,3,1,36.5,4,0,month_to_month,credit_card,0,basic,40.25,chat,Velocidad menor a la contratada,0
176,Cliente 176,user176@demo.com,33,15.0,455.57,0,3,0,8.0,1,0,two_year,credit_card,1,basic,25.67,email,sin quejas registradas,1
177,Cliente 177,user177@demo.com,51,43.05,2174.15,0,0,1,19.1,2,20,month_to_month,electronic_check,1,standard,0.0,whatsapp,sin quejas registradas,0
178,Cliente 178,user178@demo.com,12,55.32,669.24,2,1,0,11.1,2,0,one_year,electronic_check,1,standard,0.0,chat,Internet inestable en horas pico,0
